Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Duplicate),Inward issue link (Finish-to-Finish link (WBSGantt)),Inward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Inward issue link (Finish-to-Start link (WBSGantt)),Inward issue link (Hierarchy link (WBSGantt)),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Activity Class),Custom field (Activity Type),Custom field (Biomica Delivery),Custom field (Budget),Custom field (Budget 2),Custom field (CRISPRIL WP),Custom field (Crispr Delivery),Custom field (DevOps Platform),Custom field (EVGN Description),Custom field (End date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Experiment Name),Custom field (Lavie project),Custom field (Maturity Level),Custom field (Planned End),Custom field (Planned Start),Custom field (Priority),Custom field (Product),Custom field (Rank),Sprint
CLONE - Understanding Strain Comparison,CI-9,46504,,Task,Closed,CI,CPBC Internal,software,drorf,,,Medium,,itair,elanitec,elanitec,24/04/2023 08:29,14/06/2023 14:13,12/09/2023 13:19,,16/05/2023 00:00,elanitec,itair,,,,,,,,,;14/May/23 2:26 PM;itair;28800,;18/May/23 1:23 PM;itair;28800,;24/May/23 1:37 PM;itair;115200,,,,,,,,,,,,,,,,,,,,,,,43200,0,172800,400%,43200,0,172800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAV-459,,,LAV-466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool Support,Other,,P82 - ICL (Lavie 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,CPB,0|i012qn:,01/05/2023
Identify Plasmids- DL,CPB-885,42105,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,itair,gala,gala,16/02/2023 19:39,15/06/2023 10:48,12/09/2023 13:19,,30/04/2023 00:00,gala,,,,,,,,,,;16/Apr/23 3:05 PM;itair;57600,;20/Apr/23 1:38 PM;itair;104400,adapting the code to embedded-long DNA sequence data;30/Apr/23 12:46 PM;itair;100800,,,,,,,,,,,,,,,,,,,,,,,288000,25200,262800,91%,288000,25200,262800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-961,,,CPB-881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-880,,,,,,,,,CPB,0|i010k7:,01/04/2023
evocogs on the fly,CPB-943,44703,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,itair,gala,gala,26/03/2023 12:34,15/06/2023 10:54,12/09/2023 13:19,,28/03/2023 00:00,gala,liorr,,,,,,,,,"Done.
can you re-check (sample) to 17 produictions with 'organisms'?

also, are there more 'rep-chunks' directories that I should also add to the Evocog-on-the-fly update code?;26/Mar/23 2:40 PM;itair;14400",,,,,,,,,,,,,,,,,,,,,,,,,28800,14400,14400,50%,28800,14400,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool Support,Bug or False,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-880,,,,,,,,,CPB,0|i011y7:,01/03/2023
Target selection,CHEM-713,49102,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,itair,nira,nira,30/05/2023 12:28,29/06/2023 06:10,12/09/2023 13:19,,15/06/2023 00:00,nira,,,,,,,,,,;12/Jun/23 2:56 PM;itair;100800,;27/Jun/23 1:37 PM;itair;115200,,,,,,,,,,,,,,,,,,,,,,,,201600,0,216000,107%,201600,0,216000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-737,CHEM-730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-519,,,,,,,,,ChemPass,0|i013rr:,01/06/2023
t-SNE tool development - Algo ,CHEM-700,48612,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,itair,hamutal.e,hamutal.e,23/05/2023 14:59,29/06/2023 06:09,12/09/2023 13:19,,07/06/2023 00:00,boazm,hamutal.e,,,,,,,,,;05/Jun/23 1:35 PM;itair;57600,;06/Jun/23 3:09 PM;itair;28800,changed column names + fixed issues;27/Jun/23 1:37 PM;itair;14400,,,,,,,,,,,,,,,,,,,,,,,86400,0,100800,116%,86400,0,100800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-699,,,,,,,,,ChemPass,0|i013kf:,01/06/2023
CLONE - Focused PointHit / Standalone mode - mod DAG,CHEM-735,51309,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,itair,robertoo,robertoo,26/06/2023 14:36,29/06/2023 06:10,12/09/2023 13:19,,30/06/2023 00:00,hamutal.e,robertoo,,,,,,,,,;27/Jun/23 1:38 PM;itair;14400,,,,,,,,,,,,,,,,,,,,,,,,,86400,72000,14400,16%,86400,72000,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-708,,,,,,,,,ChemPass,0|i014sf:,01/06/2023
Neighborhood View - Algo support for Dev,MIC-873,49206,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,itair,larisar,larisar,31/05/2023 09:01,29/06/2023 13:11,12/09/2023 13:19,,15/06/2023 00:00,elanitec,itair,larisar,,,,,,,,;12/Jun/23 2:56 PM;itair;14400,;27/Jun/23 1:37 PM;itair;86400,;29/Jun/23 1:06 PM;itair;57600,,,,,,,,,,,,,,,,,,,,,,,86400,0,158400,183%,86400,0,158400,MIC-843,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/Jun/23 12:40 PM;larisar;Neighborhood__view_page_V10_after_CPB_proposal.pptx;https://jira.prod.evogene.host/secure/attachment/51908/Neighborhood__view_page_V10_after_CPB_proposal.pptx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-839,,,,,,,,,MicroBoost,0|i013tj:,01/06/2023
Focused PointHit / Standalone Mode - Modifications after QA,CHEM-747,52301,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,itair,hamutal.e,hamutal.e,09/07/2023 11:06,17/07/2023 14:52,12/09/2023 13:19,,31/07/2023 00:00,hamutal.e,,,,,,,,,,;17/Jul/23 2:52 PM;itair;14400,,,,,,,,,,,,,,,,,,,,,,,,,28800,14400,14400,50%,28800,14400,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-708,,,,,,,,,ChemPass,0|i01547:,01/07/2023
Run Reseq on castor bean genome,CPB-1030,52801,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,itair,Iliaz,Iliaz,16/07/2023 11:51,30/07/2023 11:49,12/09/2023 13:19,,20/07/2023 00:00,Iliaz,robertoo,,,,,,,,,;17/Jul/23 2:53 PM;itair;14400,;18/Jul/23 2:27 PM;itair;28800,,,,,,,,,,,,,,,,,,,,,,,,86400,43200,43200,50%,86400,43200,43200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,CPB,0|i0156v:,01/07/2023
Neighborhood View - Algo support for Dev Jul-2023,MIC-912,50707,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,itair,larisar,larisar,20/06/2023 12:50,31/07/2023 14:13,12/09/2023 13:19,,31/07/2023 00:00,elanitec,larisar,,,,,,,,,;17/Jul/23 2:53 PM;itair;28800,;28/Jul/23 9:22 AM;itair;14400,;31/Jul/23 2:13 PM;itair;14400,,,,,,,,,,,,,,,,,,,,,,,57600,0,57600,100%,57600,0,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-839,,,,,,,,,MicroBoost,0|i014if:,01/07/2023
CLONE - De novo design - RA score prediction .Jul 2023,CHEM-729,51302,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,itair,hamutal.e,hamutal.e,26/06/2023 10:11,01/08/2023 06:39,12/09/2023 13:19,,20/07/2023 00:00,hamutal.e,robertoo,,,,,,,,,;19/Jul/23 2:19 PM;itair;28800,;28/Jul/23 9:22 AM;itair;115200,;31/Jul/23 2:14 PM;itair;43200,,,,,,,,,,,,,,,,,,,,,,,288000,100800,187200,65%,288000,100800,187200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-765,,,CHEM-693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Development,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-633,,,,,,,,,ChemPass,0|i014qv:,01/07/2023
CLONE - CLONE - De novo design - RA score prediction .Aug 2023,CHEM-765,53901,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,itair,hamutal.e,robertoo,31/07/2023 10:45,20/08/2023 07:06,12/09/2023 13:19,,03/08/2023 00:00,hamutal.e,itair,robertoo,,,,,,,,;03/Aug/23 2:34 PM;itair;86400,;16/Aug/23 2:39 PM;itair;14400,,,,,,,,,,,,,,,,,,,,,,,,57600,0,100800,175%,57600,0,100800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/Aug/23 10:06 AM;itair;try4_F1.png;https://jira.prod.evogene.host/secure/attachment/56202/try4_F1.png,16/Aug/23 10:06 AM;itair;try4_loss.png;https://jira.prod.evogene.host/secure/attachment/56203/try4_loss.png,16/Aug/23 10:06 AM;itair;try4_prc.png;https://jira.prod.evogene.host/secure/attachment/56204/try4_prc.png,16/Aug/23 10:06 AM;itair;try4_roc.png;https://jira.prod.evogene.host/secure/attachment/56205/try4_roc.png,16/Aug/23 10:06 AM;itair;try4_val_accuracy.png;https://jira.prod.evogene.host/secure/attachment/56206/try4_val_accuracy.png,,,,,,,,,,,,,,,,,,,,,,,,,,Development,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-633,,,,,,,,,ChemPass,0|i015s7:,01/08/2023
Modifications in t-SNE - fingerprints and similarity metric options,CHEM-752,53110,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,itair,hamutal.e,hamutal.e,19/07/2023 14:29,22/08/2023 09:24,12/09/2023 13:19,,31/08/2023 00:00,boazm,hamutal.e,,,,,,,,,;17/Aug/23 6:25 PM;itair;28800,;22/Aug/23 9:24 AM;itair;28800,,,,,,,,,,,,,,,,,,,,,,,,28800,0,57600,200%,28800,0,57600,CHEM-760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-708,,,,,,,,,ChemPass,0|i015av:,01/08/2023
Modifications in clustering - fingerprints and similarity metric options,CHEM-750,53108,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,itair,hamutal.e,hamutal.e,19/07/2023 14:16,22/08/2023 18:46,12/09/2023 13:19,,31/08/2023 00:00,boazm,hamutal.e,,,,,,,,,;22/Aug/23 9:24 AM;itair;36000,added params metrics and fp-type ;22/Aug/23 6:46 PM;itair;21600,,,,,,,,,,,,,,,,,,,,,,,,28800,0,57600,200%,28800,0,57600,CHEM-760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-708,,,,,,,,,ChemPass,0|i015af:,01/08/2023
RESEQ/SAUCE UI - Algo ,MIC-941,53412,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,itair,elanitec,elanitec,24/07/2023 11:52,27/08/2023 08:21,12/09/2023 13:19,,24/07/2023 00:00,elanitec,Iliaz,larisar,,,,,,,,;28/Jul/23 9:22 AM;itair;14400,,,,,,,,,,,,,,,,,,,,,,,,,43200,28800,14400,33%,43200,28800,14400,,,,,,,,,,,,MIC-987,MIC-914,,,,,,,,,,,,,,,,,,,MIC-910,,,,,,,,,,,,,,,,,,,MIC-916,,,,,,,,,,,,24/Jul/23 11:52 AM;elanitec;accessory.xlsx;https://jira.prod.evogene.host/secure/attachment/54420/accessory.xlsx,24/Jul/23 11:52 AM;elanitec;enz.bed;https://jira.prod.evogene.host/secure/attachment/54421/enz.bed,24/Jul/23 11:52 AM;elanitec;evocog_annotation_v2.bed;https://jira.prod.evogene.host/secure/attachment/54422/evocog_annotation_v2.bed,24/Jul/23 11:52 AM;elanitec;evoops.bed;https://jira.prod.evogene.host/secure/attachment/54423/evoops.bed,24/Jul/23 11:52 AM;elanitec;freebayes_filtered_norm_without_Ns.vcf;https://jira.prod.evogene.host/secure/attachment/54424/freebayes_filtered_norm_without_Ns.vcf,24/Jul/23 11:52 AM;elanitec;functions-1.csv;https://jira.prod.evogene.host/secure/attachment/54425/functions-1.csv,24/Jul/23 11:52 AM;elanitec;functions.csv;https://jira.prod.evogene.host/secure/attachment/54426/functions.csv,24/Jul/23 11:52 AM;elanitec;interpro5.bed;https://jira.prod.evogene.host/secure/attachment/54427/interpro5.bed,24/Jul/23 11:52 AM;elanitec;interpro7.bed;https://jira.prod.evogene.host/secure/attachment/54428/interpro7.bed,24/Jul/23 11:52 AM;elanitec;ko_annotation.bed;https://jira.prod.evogene.host/secure/attachment/54429/ko_annotation.bed,24/Jul/23 11:52 AM;elanitec;Pseudomonas_ISID49762_20v1_2.snps.xlsx;https://jira.prod.evogene.host/secure/attachment/54430/Pseudomonas_ISID49762_20v1_2.snps.xlsx,24/Jul/23 11:52 AM;elanitec;Pseudomonas_ISID49762_20v1.xfa;https://jira.prod.evogene.host/secure/attachment/54431/Pseudomonas_ISID49762_20v1.xfa,24/Jul/23 11:52 AM;elanitec;Pseudomonas_ISID49762_20v1.xfa.fai;https://jira.prod.evogene.host/secure/attachment/54432/Pseudomonas_ISID49762_20v1.xfa.fai,24/Jul/23 11:52 AM;elanitec;reseq.log;https://jira.prod.evogene.host/secure/attachment/54433/reseq.log,24/Jul/23 11:52 AM;elanitec;sample_tree.nwk;https://jira.prod.evogene.host/secure/attachment/54434/sample_tree.nwk,,,,,,,,,,,,,,,,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-909,,,,,,,,,MicroBoost,0|i015kf:,01/07/2023
Train DeepDock models DAG,CPB-1006,50800,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,itair,robertoo,robertoo,21/06/2023 06:59,03/09/2023 12:39,12/09/2023 13:19,,31/07/2023 00:00,hamutal.e,itair,robertoo,,,,,,,,"finished 1st version of prepare_input_for_DeepDock.py

still have to test and document it ;24/Aug/23 6:16 PM;itair;57600",;27/Aug/23 12:48 PM;itair;28800,;03/Sep/23 12:39 PM;itair;28800,,,,,,,,,,,,,,,,,,,,,,,144000,28800,115200,80%,144000,28800,115200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P274 - Product- Upkeep CP  (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,ChemPass,0|i014jz:,01/08/2023
Neighborhood view (NHV) Algo development - Following MB QA Aug. 23,MIC-957,54207,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,itair,erezn,erezn,03/08/2023 12:55,03/09/2023 14:41,12/09/2023 13:19,,31/08/2023 00:00,elanitec,erezn,itair,larisar,,,,,,,;15/Aug/23 11:00 AM;itair;57600,;16/Aug/23 2:39 PM;itair;14400,;29/Aug/23 3:37 PM;itair;57600,,,,,,,,,,,,,,,,,,,,,,,,10800,129600,,,10800,129600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/Aug/23 12:47 PM;erezn;image-2023-08-03-15-47-39-730.png;https://jira.prod.evogene.host/secure/attachment/55212/image-2023-08-03-15-47-39-730.png,03/Aug/23 12:47 PM;erezn;image-2023-08-03-15-47-45-491.png;https://jira.prod.evogene.host/secure/attachment/55211/image-2023-08-03-15-47-45-491.png,03/Aug/23 12:48 PM;erezn;image-2023-08-03-15-48-17-484.png;https://jira.prod.evogene.host/secure/attachment/55210/image-2023-08-03-15-48-17-484.png,03/Aug/23 12:49 PM;erezn;image-2023-08-03-15-49-53-077.png;https://jira.prod.evogene.host/secure/attachment/55209/image-2023-08-03-15-49-53-077.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-839,,,,,,,,,MicroBoost,0|i015z3:,01/08/2023
KEGG pathways- KEGG format,CPB-809,37924,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,liorr,gala,gala,21/12/2022 14:43,23/01/2023 07:24,12/09/2023 13:19,,10/01/2023 00:00,gala,liorr,,,,,,,,,;08/Jan/23 8:47 PM;liorr;37800,;09/Jan/23 3:21 PM;liorr;21600,;10/Jan/23 6:49 AM;liorr;5400,,,,,,,,,,,,,,,,,,,,,,,86400,21600,64800,75%,86400,21600,64800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-810,,,CPB-808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-762,,,,,,,,,CPB,0|i00ynz:,01/01/2023
KEGG pathways-map to KO,CPB-810,37925,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,liorr,gala,gala,21/12/2022 14:48,23/01/2023 07:24,12/09/2023 13:19,,12/01/2023 00:00,gala,liorr,,,,,,,,,;10/Jan/23 3:18 PM;liorr;21600,;12/Jan/23 6:36 AM;liorr;28800,;12/Jan/23 11:28 AM;liorr;7200,;12/Jan/23 11:28 AM;liorr;7200,,,,,,,,,,,,,,,,,,,,,,57600,0,64800,112%,57600,0,64800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-811,,,CPB-809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/Jan/23 12:04 PM;liorr;Eubacterium_hallii_firmicutes_GCF_900209925_20v1.kegg_prot;https://jira.prod.evogene.host/secure/attachment/40507/Eubacterium_hallii_firmicutes_GCF_900209925_20v1.kegg_prot,12/Jan/23 12:02 PM;liorr;Eubacterium_hallii_firmicutes_GCF_900209925_20v1.ko;https://jira.prod.evogene.host/secure/attachment/40506/Eubacterium_hallii_firmicutes_GCF_900209925_20v1.ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-762,,,,,,,,,CPB,0|i00yo7:,01/01/2023
KEGG pathways-KO count,CPB-811,37926,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,liorr,gala,gala,21/12/2022 14:50,23/01/2023 07:24,12/09/2023 13:19,,16/01/2023 00:00,gala,liorr,,,,,,,,,;12/Jan/23 5:51 PM;liorr;14400,;15/Jan/23 2:23 PM;liorr;28800,,,,,,,,,,,,,,,,,,,,,,,,57600,14400,43200,75%,57600,14400,43200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-812,,,CPB-810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/Jan/23 2:43 PM;liorr;BIOM_PRJNA762360_SRX12453739_22v1.ko_abundance;https://jira.prod.evogene.host/secure/attachment/40601/BIOM_PRJNA762360_SRX12453739_22v1.ko_abundance,15/Jan/23 2:26 PM;liorr;Eubacterium_hallii_firmicutes_GCF_900209925_20v1.ko_abundance;https://jira.prod.evogene.host/secure/attachment/40600/Eubacterium_hallii_firmicutes_GCF_900209925_20v1.ko_abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-762,,,,,,,,,CPB,0|i00yof:,01/01/2023
KEGG pathways-KO tests,CPB-812,37927,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,liorr,gala,gala,21/12/2022 14:52,23/01/2023 07:24,12/09/2023 13:19,,17/01/2023 00:00,gala,liorr,,,,,,,,,;16/Jan/23 11:30 AM;liorr;14400,;17/Jan/23 2:46 PM;liorr;14400,;18/Jan/23 10:09 AM;liorr;14400,,,,,,,,,,,,,,,,,,,,,,,28800,0,43200,150%,28800,0,43200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-813,,,CPB-811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-762,,,,,,,,,CPB,0|i00yon:,01/01/2023
KEGG pathways- KO to PWY,CPB-814,38000,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,liorr,gala,gala,22/12/2022 05:36,23/01/2023 16:54,12/09/2023 13:19,,23/01/2023 00:00,gala,liorr,,,,,,,,,;18/Jan/23 2:45 PM;liorr;7200,;19/Jan/23 2:14 PM;liorr;28800,;22/Jan/23 11:02 AM;liorr;21600,;23/Jan/23 4:53 PM;liorr;14400,,,,,,,,,,,,,,,,,,,,,,57600,0,72000,125%,57600,0,72000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-815,,,CPB-813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-762,,,,,,,,,CPB,0|i00yp3:,01/01/2023
