Issue key,Issue id,Parent id,Custom field (Epic Link),Status,Custom field (Execution Status),Work Ratio,Due Date,Summary,Original Estimate,Time Spent,Assignee,Custom field (Budget),Custom field (Product),Sprint,Sprint,Creator,Custom field (Teams),Custom field (Teams)
LBI-135,66402,,LBI-103,Closed,As Planned,100%,30/04/2024 00:00, BioInsecticides- BIF Feature preparation - genome properties features,144000,144000,michala,P85 -Syngenta (Lavie),MicroBoost,4/1/24,,erezn,Bio-Info,
LBI-134,66355,,LAV-601,Closed,As Planned,50%,30/04/2024 00:00,Strain comparison WCRW- EVOS202,57600,28800,gala,P145-Corteva - IA (Lavie),MicroBoost,4/1/24,,sharonl,Bio-Info,
LBI-133,66354,,LBI-79,Closed,As Planned,50%,30/04/2024 00:00,Strain comparison pipeline additions,57600,28800,liorr,P145-Corteva - IA (Lavie),MicroBoost,4/1/24,,sharonl,Bio-Info,
LBI-129,66228,,LBI-103,Closed,,20%,31/03/2024 00:00,BioInsecticides- assembly of public genomes for BIF TS (BI),144000,28800,gala,P85 -Syngenta (Lavie),MicroBoost,3/1/24,,erezn,Bio-Info,
LBI-128,66225,,LBI-76,Closed,,,14/03/2024 00:00," Problem running F2O - claims ""invalid functions"" without listing any",,3600,inbarp,P82 - ICL (Lavie),MicroBoost,3/1/24,,sharonl,Dev,
LBI-127,66219,,LBI-103,Closed,As Planned,77%,30/04/2024 00:00,BioInsecticides- BIF: BIF Model Training (BI),288000,223200,iliab,P85 -Syngenta (Lavie),MicroBoost,4/1/24,,erezn,Bio-Info,
LBI-125,66217,,LBI-103,Closed,,75%,31/03/2024 00:00,BioInsecticides- BIF Feature preparation - Protein chemical properties,144000,108000,liorr,P85 -Syngenta (Lavie),MicroBoost,3/1/24,,erezn,Bio-Info,
LBI-124,66216,,LBI-103,Closed,,50%,31/03/2024 00:00,BioInsecticides- BIF Feature preparation - KO/PWY/IPR,86400,43200,liorr,P85 -Syngenta (Lavie),MicroBoost,3/1/24,,erezn,Bio-Info,
LBI-123,66215,,LBI-103,Closed,,100%,31/03/2024 00:00,BioInsecticides- BIF Feature preparation - Codon usage,115200,115200,iliab,P85 -Syngenta (Lavie),MicroBoost,3/1/24,,erezn,Bio-Info,
LBI-122,66214,,LBI-103,Closed,,100%,31/03/2024 00:00, BioInsecticides- BIF Feature preparation - biological activity features,86400,86400,michala,P85 -Syngenta (Lavie),MicroBoost,3/1/24,,erezn,Bio-Info,
LBI-120,66207,,LBI-103,Closed,,9223372036854770000%,31/03/2024 00:00,BioInsecticides- BIF - DevOps Support,0,28800,taln,P85 -Syngenta (Lavie),MicroBoost,3/1/24,,erezn,DevOps,
LBI-119,66206,,LBI-103,Closed,,,31/03/2024 00:00, BioInsecticides-  ALGO Support,,,anatm,P85 -Syngenta (Lavie),MicroBoost,3/1/24,,erezn,Algo,
LBI-118,66205,,LBI-103,Closed,,100%,31/03/2024 00:00,BioInsecticides- downloading public genomes for BIF TS (BI),28800,28800,liorr,P85 -Syngenta (Lavie),MicroBoost,3/1/24,,erezn,Bio-Info,
LBI-117,66104,,LBI-103,Closed,,100%,27/03/2024 00:00,BioInsecticides- BIF (BI) - Retrieval of valid toxins list,115200,115200,iliab,P85 -Syngenta (Lavie),MicroBoost,3/1/24,,erezn,Bio-Info,
LBI-116,65900,,LBI-103,Closed,,62%,29/03/2024 00:00,BioInsecticides- BIF (BI) - InterPro annotations to Bacum,57600,36000,gala,P85 -Syngenta (Lavie),MicroBoost,3/1/24,,erezn,Bio-Info,
LBI-115,65302,,LBI-77,Closed,,50%,10/03/2024 00:00,delete production,28800,14400,duduz,P82 - ICL (Lavie),MicroBoost,3/1/24,,gala,Dev,
LBI-112,65014,,LBI-103,Closed,,,31/03/2024 00:00,BioInsecticides- BIF preparation (BI),,43200,gala,P85 -Syngenta (Lavie),MicroBoost,3/1/24,,erezn,Bio-Info,
LBI-108,64303,,LBI-103,Closed,,100%,29/02/2024 00:00,BioInsecticides-  ALGO preparation ,86400,86400,anatm,P85 -Syngenta (Lavie),MicroBoost,2/1/24,,erezn,Algo,
LBI-104,63607,,LBI-103,Closed,,50%,29/02/2024 00:00,BioInsecticides- BI preparation ,86400,43200,gala,P85 -Syngenta (Lavie),MicroBoost,2/1/24,,elanitec,Bio-Info,
LBI-102,63404,,LBI-76,Closed,,100%,11/02/2024 00:00,"Update to the ""Conversion Tables for Database Versions"" App",86400,86400,noama,P999 - General (LavieBio),MicroBoost,2/1/24,,erezn,Dev,
LBI-100,62909,,LBI-103,Closed,,50%,31/03/2024 00:00,BioInsecticides- Public productions for BIF TS (BI),144000,72000,gala,P85 -Syngenta (Lavie),MicroBoost,3/1/24,,elanitec,Bio-Info,
LBI-99,62905,,,Closed,,50%,18/02/2024 00:00, LAV23X+24X - ICL soy&cotton (Public productions),144000,72000,gala,P82 - ICL (Lavie),MicroBoost,2/1/24,,sharonl,Bio-Info,
LBI-98,62904,,LBI-76,Closed,,,21/02/2024 00:00, Updated BUSCO scores of all internal productions,,,sharonl,P192 - LAV 321 (Lavie),CPB,2/1/24,,sharonl,Bio-Info,
LBI-96,62806,,LBI-77,Closed,,100%,31/01/2024 00:00,EVOs201 summary stats- final,57600,57600,iliab,P82 - ICL (Lavie),MicroBoost,1/1/24,,gala,Bio-Info,
LBI-95,62805,,LBI-77,Closed,,100%,31/01/2024 00:00,Batch #2 Genome Production part 2- EVOs201,144000,144000,liorr,P82 - ICL (Lavie),MicroBoost,1/1/24,,gala,Bio-Info,
LBI-94,62605,,LBI-78,Closed,,12%,31/01/2024 00:00,Lavie IP sequences - support,57600,7200,markb,P86 -Product ( Lavie),CPB,1/1/24,,gala,Bio-Info,
LBI-93,62303,,LAV-592,Closed,,100%,31/01/2024 00:00,Add BLAST page to patented sequences - Backend,28800,28800,duduz,P192 - LAV 321 (Lavie),CPB,1/1/24,,duduz,Dev,
LBI-92,62103,,LBI-77,Closed,,,13/02/2024 00:00," Production Information 2023,2024",,,sharonl,P192 - LAV 321 (Lavie),CPB,2/1/24,,sharonl,Bio-Info,
LBI-91,62102,,LBI-121,Closed,,,28/02/2024 00:00," (Priority 2) Production Information 2023, 2024",,,sharonl,P192 - LAV 321 (Lavie),CPB,2/1/24,,sharonl,Bio-Info,
LBI-88,61901,,LBI-79,Closed,,100%,31/01/2024 00:00,Strain comparison WCRW- EVOS202- Ilia,86400,86400,iliab,P145-Corteva - IA (Lavie),MicroBoost,1/1/24,,gala,Bio-Info,
LBI-87,61500,,LBI-78,Closed,,162%,31/01/2024 00:00,Lavie IP sequences ,28800,46800,markb,P86 -Product ( Lavie),CPB,1/1/24,,Iliaz,Bio-Info,
LBI-86,60908,,LBI-47,Closed,,100%,04/01/2024 00:00,Evos-198 summary stats- Jan,57600,57600,iliab,P82 - ICL (Lavie),MicroBoost,1/1/24,,gala,Bio-Info,
LBI-85,60900,,LAV-592,Closed,,95%,31/01/2024 00:00,Build a database of LavieBio patented sequences,144000,136800,hodayam,P192 - LAV 321 (Lavie),CPB,1/1/24,,Iliaz,Dev,
LBI-84,60901,,LAV-592,Closed,,110%,31/01/2024 00:00,Add BLAST page to patented sequences,144000,158400,hodayam,P192 - LAV 321 (Lavie),CPB,1/1/24,,Iliaz,Dev,
LBI-83,60840,,LAV-590,Closed,,108%,31/01/2024 00:00,compare quality of genome production from sequences produced in different methods,86400,93600,iliab,P999 - General (LavieBio),MicroBoost,1/1/24,,sharonl,Bio-Info,
LBI-82,60839,,LAV-592,Closed,,,31/03/2024 00:00,IP Lavie - please instruct in BLAST searches of patent sequence database,,,duduz,P86 -Product ( Lavie),MicroBoost,1/1/24,,sharonl,Dev,
LBI-81,60838,,LAV-592,Closed,As Planned,31%,31/05/2024 00:00,IP Lavie - transferring responsibility for Genomic Marker generation,57600,18000,markb,P86 -Product ( Lavie),MicroBoost,5/1/24,,sharonl,Bio-Info,
LBI-74,60829,,LAV-591,Closed,,,31/01/2024 00:00,HTML format option to BLAST tool being developed,,,duduz,P86 -Product ( Lavie),MicroBoost,1/1/24,,sharonl,Dev,
LBI-65,60618,,LBI-77,Closed,,100%,31/01/2024 00:00,Batch #1 Genome Production part 2- EVOs201,144000,144000,liorr,P82 - ICL (Lavie),MicroBoost,1/1/24,,gala,Bio-Info,
LBI-64,60617,,LBI-77,Closed,,100%,31/01/2024 00:00,EVOs201 summary stats,57600,57600,iliab,P82 - ICL (Lavie),MicroBoost,1/1/24,,gala,Bio-Info,
LBI-61,60588,,LBI-79,Closed,,100%,31/12/2023 00:00, Strain comparison WCRW- EVOS202,57600,57600,liorr,P145-Corteva - IA (Lavie),MicroBoost,1/1/24,,sharonl,Bio-Info,
LAV-663,67238,,LBI-103,Closed,As Planned,,29/07/2024 00:00,Syngenta,,,sharonl,P85 -Syngenta (Lavie),MicroBoost,7/1/24,,michalsho,Bio-Info,
LAV-657,67147,,,Closed,As Planned,,31/07/2024 00:00,TEST JUL2,,,drorf,P271 - CPB Upkeep Computational (CPB),MicroBoost,7/1/24,,drorf,Bio-Info,
LAV-651,67006,,,Closed,As Planned,,04/07/2024 00:00,Run BIF models on training set,,,sharonl,P85 -Syngenta (Lavie),MicroBoost,7/1/24,,michalsho,Customer success,
LAV-648,66931,,,Closed,As Planned,,09/06/2024 00:00,Phylogenetic tree doesnt work,,,sharonl,P271 - CPB Upkeep Computational (CPB),MicroBoost,6/1/24,,michalsho,Product,
LAV-642,66775,,LBI-183,Closed,As Planned,,19/05/2024 00:00,production report- not downloading results,,,sharonl,P999 - General (LavieBio),MicroBoost,5/1/24,,michalsho,Product,
LAV-636,66627,,LAV-615,Closed,As Planned,,30/04/2024 00:00,2 productions with problematic annotations,,,sharonl,P85 -Syngenta (Lavie),MicroBoost,4/1/24,,michalsho,Bio-Info,
LAV-635,66543,,LAV-590,Closed,,,11/04/2024 00:00,BUG: A serratia genome that does not cluster with other serratia,,14400,sharonl,P999 - General (LavieBio),MicroBoost,4/1/24,,elanitec,Bio-Info,
LAV-629,66241,,LAV-601,Closed,,,24/03/2024 00:00,Strain comparison pipeline additions,,,sharonl,P145-Corteva - IA (Lavie),MicroBoost,4/1/24,,inbala,Dev,
LAV-622,64111,,LAV-601,Closed,,,03/03/2024 00:00,Strain comparison WCRW- EVOS202,,,sharonl,P145-Corteva - IA (Lavie),MicroBoost,4/1/24,,inbala,Customer success,
LAV-620,63401,,LAV-547,Closed,,0%,13/02/2024 00:00,"Production Information 2023,2024",28800,,sharonl,P999 - General (LavieBio),CPB,2/1/24,,sharonl,Product,
LAV-613,62501,,LAV-590,Closed,,,21/02/2024 00:00,Updated BUSCO scores of all internal productions,,,sharonl,P192 - LAV 321 (Lavie),CPB,2/1/24,,mariac,Customer success,
LAV-612,62407,,LAV-598,Closed,,,23/02/2024 00:00,LAV23X+24X - ICL soy&cotton (Public productions),,,sharonl,P82 - ICL (Lavie),MicroBoost,2/1/24,,michalsho,Customer success,
LAV-609,62005,,,Closed,,,28/02/2024 00:00,"(Priority 2) Production Information 2023, 2024",,,sharonl,P192 - LAV 321 (Lavie),CPB,2/1/24,,mariac,Customer success,
LAV-608,62004,,LAV-547,Closed,,,13/02/2024 00:00,"Production Information 2023,2024",,,sharonl,P999 - General (LavieBio),CPB,2/1/24,,mariac,Customer success,
LAV-594,60814,,LAV-592,Closed,,,31/03/2024 00:00,IP Lavie - please instruct in BLAST searches of patent sequence database,,,sharonl,P192 - LAV 321 (Lavie),MicroBoost,1/1/24,,shlomog,Product,
LAV-593,60813,,LAV-592,Closed,,,31/03/2024 00:00,IP Lavie - transferring responsibility for Genomic Marker generation,,,sharonl,P86 -Product ( Lavie),MicroBoost,1/1/24,5/1/24,shlomog,Product,
LAV-588,60719,,LAV-590,Closed,,,31/01/2024 00:00,compare quality of genome production from sequences produced in different methods,,,sharonl,P82 - ICL (Lavie),MicroBoost,1/1/24,,michalsho,Customer success,
LAV-585,60706,,LAV-590,Closed,,,31/01/2024 00:00,HTML format option to BLAST tool being developed,,,sharonl,P192 - LAV 321 (Lavie),MicroBoost,1/1/24,,shlomog,Customer success,
LAV-583,60701,,LAV-601,Closed,,,13/01/2024 00:00,QA of EVOS_202,,,sharonl,P143 - Corteva (Lavie 2023),MicroBoost,1/1/24,,mariac,Customer success,
LAV-576,60569,,LAV-601,Closed,,,31/12/2024 00:00,Strain comparison WCRW- EVOS202,,,sharonl,P145-Corteva - IA (Lavie),MicroBoost,1/1/24,2/1/24,inbala,Customer success,
LAV-572,60548,,LAV-546,Closed,,,31/10/2023 00:00, Batch #1 Genome Production- EVOs201,,,sharonl,P82 - ICL (Lavie),MicroBoost,1/1/24,,sharonl,Customer success,
KFF-10,66709,,,Closed,As Planned,85%,16/05/2024 00:00,Adding potato genome to evoguide,201600,172800,michala,P401 - The Kitchen,Generator,5/1/24,,drorf,Bio-Info,
KFF-9,66584,,KFF-1,Closed,As Planned,0%,07/04/2024 00:00,Add potato genome and annotations to UCSC,28800,60,gala,P401 - The Kitchen,CPB,4/1/24,,Iliaz,Bio-Info,
KFF-8,66497,,KFF-1,Closed,,50%,31/03/2024 00:00,Dashboard for Finally Foods,28800,14400,duduz,P401 - The Kitchen,Generator,3/1/24,,Iliaz,Dev,
INTCAS-46,67325,,INTCAS-39,Closed,As Planned,50%,13/08/2024 00:00,A file for Phyletic UI,3600,1800,duduz,P403 - Run Generator (on going) - Casterra ,Generator,8/1/24,,markb,Dev,
INTCAS-44,67216,,INTCAS-39,Closed,As Planned,120%,30/08/2024 00:00,Study homozygocity in commercial lines,144000,172800,markb,P403 - Run Generator (on going) - Casterra ,Generator,8/1/24,,naamag,Bio-Info,
INTCAS-43,67215,,INTCAS-39,Closed,As Planned,120%,30/08/2024 00:00,SNPs detection for Castor bean commercial lines,144000,172800,markb,P403 - Run Generator (on going) - Casterra ,Generator,8/1/24,,naamag,Bio-Info,
INTCAS-42,67214,,INTCAS-39,Closed,As Planned,125%,30/08/2024 00:00,VCF file for commercial lines and 100 public genomes,57600,72060,markb,P403 - Run Generator (on going) - Casterra ,Generator,8/1/24,,naamag,Bio-Info,
INTCAS-41,67004,,INTCAS-39,Closed,As Planned,100%,31/07/2024 00:00,map NGS to ref genome for commercial lines,86400,86400,gala,P403 - Run Generator (on going) - Casterra ,Generator,7/1/24,,naamag,Bio-Info,
INTCAS-40,67003,,INTCAS-39,Closed,As Planned,100%,31/07/2024 00:00,Download NGS data for castor bean commercial lines,28800,28800,gala,P403 - Run Generator (on going) - Casterra ,Generator,7/1/24,,naamag,Bio-Info,
INTCAS-38,67001,,INTCAS-32,Closed,As Planned,,10/07/2024 00:00,Study NGS depth and numbers for further research-continue,,,naamag,P403 - Run Generator (on going) - Casterra ,Generator,7/1/24,,naamag,Product,
INTCAS-37,66896,,INTCAS-23,Closed,,,20/03/2024 00:00,CLONE - Test1,,,drorf,P404 - Developing new varieties Casterra,MicroBoost,2/1/24,,drorf,Bio-Info,
INTCAS-35,66708,,INTCAS-32,Closed,As Planned,160%,30/06/2024 00:00,Study NGS depth and numbers for further research,144000,230400,michala,P403 - Run Generator (on going) - Casterra ,Generator,6/1/24,,naamag,Bio-Info,
INTCAS-34,66706,,INTCAS-32,Closed,As Planned,100%,31/05/2024 00:00,map NGS to ref genome,230400,230400,michala,P403 - Run Generator (on going) - Casterra ,Generator,5/1/24,,naamag,Bio-Info,
INTCAS-33,66704,,INTCAS-32,Closed,As Planned,100%,31/05/2024 00:00,Download NGS data for castorbean plot 10,28800,28800,michala,P403 - Run Generator (on going) - Casterra ,Generator,5/1/24,,naamag,Bio-Info,
INTCAS-22,66498,,INTCAS-23,Closed,,640%,31/03/2024 00:00,Dashboard for Castera,7200,46080,duduz,P402 - Casterra Generator,Generator,3/1/24,,Iliaz,Dev,
INTCAS-19,66462,,INTCAS-18,Closed,As Planned,123%,30/04/2024 00:00,Generate markers list,144000,178200,markb,P402 - Casterra Generator,Generator,4/1/24,,naamag,Bio-Info,
INTCAS-17,66460,,INTCAS-2,Closed,As Planned,,30/05/2024 00:00,UI for line selection,,,duduz,P402 - Casterra Generator,Generator,5/1/24,,naamag,Dev,
INTCAS-16,66455,,INTCAS-3,Closed,As Planned,160%,11/04/2024 00:00,Download 100 Castor bean NGS,28800,46080,markb,P403 - Run Generator (on going) - Casterra ,Generator,4/1/24,,naamag,Bio-Info,
INTCAS-10,65509,,INTCAS-23,Closed,,75%,15/03/2024 00:00,Castor genome production- QA,57600,43200,liorr,P403 - Run Generator (on going) - Casterra ,Generator,3/1/24,,gala,Bio-Info,
INTCAS-7,66235,,INTCAS-3,Closed,As Planned,143%,22/04/2024 00:00,Run Reseq on castor bean sequences,115200,165600,markb,P403 - Run Generator (on going) - Casterra ,Generator,4/1/24,,naamag,Bio-Info,
INTCAS-1,65700,,INTCAS-23,Closed,,,20/03/2024 00:00,Test1,,,drorf,P404 - Developing new varieties Casterra,MicroBoost,2/1/24,,drorf,Bio-Info,
INTBIOM-275,67505,,INTBIOM-245,Closed,As Planned,,30/09/2024 00:00,EvoCOG Attributes - Preparations for project - Product,,27000,inbarp,P999 â€“ General (Biomica),MicroBoost,8/1/24,,inbarp,Product,
INTBIOM-243,67410,,INTBIOM-232,Closed,As Planned,100%,30/08/2024 00:00,Assembly annotation and normalization PRJEB25514,72000,72000,michala,P999 â€“ General (Biomica),MicroBoost,8/1/24,,gala,Bio-Info,
INTBIOM-242,67409,,INTBIOM-224,Closed,As Planned,100%,30/08/2024 00:00,Assembly annotation and normalization PRJNA553191,72000,72000,iliab,P999 â€“ General (Biomica),MicroBoost,8/1/24,,gala,Bio-Info,
INTBIOM-238,67329,,INTBIOM-232,Closed,As Planned,100%,30/08/2024 00:00,Assembly PRJEB25514,72000,72000,michala,P999 â€“ General (Biomica),MicroBoost,8/1/24,,gala,Bio-Info,
INTBIOM-237,67328,,INTBIOM-232,Closed,As Planned,100%,30/08/2024 00:00,Refunder PRJEB25514,144000,144000,michala,P999 â€“ General (Biomica),MicroBoost,8/1/24,,gala,Bio-Info,
INTBIOM-236,67327,,INTBIOM-232,Closed,Delay - Duration,33%,30/08/2024 00:00,strainDB PRJEB25514,86400,28920,iliab,P999 â€“ General (Biomica),MicroBoost,8/1/24,,gala,Bio-Info,
INTBIOM-235,67326,,INTBIOM-232,Closed,As Planned,62%,11/08/2024 00:00,QC PRJEB25514,115200,72000,gala,P999 â€“ General (Biomica),MicroBoost,8/1/24,,gala,Bio-Info,
INTBIOM-234,67321,,INTBIOM-232,Closed,As Planned,100%,11/08/2024 00:00,Download PRJEB25514,28800,28800,gala,P999 â€“ General (Biomica),MicroBoost,8/1/24,,gala,Bio-Info,
INTBIOM-233,67318,,INTBIOM-224,Closed,As Planned,100%,30/08/2024 00:00,Download PRJNA553191,28800,28800,gala,P999 â€“ General (Biomica),MicroBoost,8/1/24,,gala,Bio-Info,
INTBIOM-231,67280,,INTBIOM-224,Closed,As Planned,100%,30/08/2024 00:00,Samples data PRJNA553191,86400,86400,iliab,P999 â€“ General (Biomica),MicroBoost,8/1/24,,gala,Bio-Info,
INTBIOM-230,67279,,INTBIOM-224,Closed,As Planned,100%,30/08/2024 00:00,Assembly PRJNA553191,72000,72000,iliab,P999 â€“ General (Biomica),MicroBoost,8/1/24,,gala,Bio-Info,
INTBIOM-229,67278,,INTBIOM-224,Closed,As Planned,100%,30/08/2024 00:00,refunder PRJNA553191,144000,144000,michala,P999 â€“ General (Biomica),MicroBoost,8/1/24,,gala,Bio-Info,
INTBIOM-228,67277,,INTBIOM-224,Closed,As Planned,66%,30/08/2024 00:00,strain DB PRJNA553191,86400,57600,gala,P999 â€“ General (Biomica),MicroBoost,8/1/24,,gala,Bio-Info,
INTBIOM-227,67270,,INTBIOM-224,Closed,As Planned,68%,30/08/2024 00:00,QC PRJNA553191,115200,79200,iliab,P999 â€“ General (Biomica),MicroBoost,8/1/24,,gala,Bio-Info,
INTBIOM-226,67253,,INTBIOM-121,Closed,As Planned,,17/07/2024 00:00,Funda- definition of permutations in the system - DEV Aug,,,duduz,P271 - CPB Upkeep Computational (CPB),MicroBoost,7/1/24,,inbarp,Dev,
INTBIOM-225,67252,,INTBIOM-121,Closed,As Planned,,17/07/2024 00:00,Funda- definition of permutations in the system - MB QA Aug,,,inbarp,P271 - CPB Upkeep Computational (CPB),MicroBoost,8/1/24,,inbarp,Product,
INTBIOM-223,67225,,INTBIOM-121,Closed,As Planned,,17/07/2024 00:00,Funda- definition of permutations in the system - DEV,,14400,duduz,P271 - CPB Upkeep Computational (CPB),MicroBoost,7/1/24,,inbarp,Dev,
INTBIOM-222,67223,,INTBIOM-121,Closed,As Planned,,17/07/2024 00:00,Funda- definition of permutations in the system,,18000,inbarp,P271 - CPB Upkeep Computational (CPB),MicroBoost,7/1/24,,sharonl,Product,
INTBIOM-221,67164,,BIOM-371,Closed,,,13/06/2024 00:00,Funda UI changes- addition of external abundance tables-Q&A session with Biomica - MB,,32400,inbarp,P999 â€“ General (Biomica),MicroBoost,7/1/24,,elanitec,Product,
INTBIOM-220,67162,,INTBIOM-198,Closed,As Planned,,31/07/2024 00:00,Effort estimation for VFDB + KEGG - reflection in Pickaxe - Dev,,18000,duduz,P999 â€“ General (Biomica),MicroBoost,7/1/24,,elanitec,Dev,
INTBIOM-219,67153,,INTBIOM-72,Closed,As Planned,75%,16/07/2024 00:00,FUNDA- Problem to download results ZIP file - July DEV,57600,43200,duduz,P999 â€“ General (Biomica),MicroBoost,7/1/24,,inbarp,Dev,
INTBIOM-218,67149,,INTBIOM-198,Closed,As Planned,,31/07/2024 00:00,Effort estimation for VFDB + KEGG - reflection in Pickaxe - BI,,21600,gala,P999 â€“ General (Biomica),MicroBoost,7/1/24,,elanitec,Bio-Info,
INTBIOM-217,67142,,INTBIOM-72,Closed,As Planned,,23/06/2024 00:00,FUNDA- Problem to download results ZIP file - July MB QA,,43200,inbarp,P999 â€“ General (Biomica),MicroBoost,7/1/24,,drorf,Product,
INTBIOM-215,67135,,INTBIOM-121,Closed,As Planned,,07/07/2024 00:00, Funda evocoge runs too slow,,57600,inbarp,P999 â€“ General (Biomica),MicroBoost,7/1/24,,sharonl,Product,
INTBIOM-214,67123,,INTBIOM-198,Closed,As Planned,,31/07/2024 00:00,Effort estimation for VFDB + KEGG- reflection in Pickaxe -MB,,25200,inbarp,P999 â€“ General (Biomica),MicroBoost,7/1/24,,sharonl,Product,
INTBIOM-213,67071,,INTBIOM-121,Closed,,100%,04/07/2024 00:00,Adding Archeal genomes to the CONFUTER- new July ,28800,28800,michala,P999 â€“ General (Biomica),MicroBoost,7/1/24,,sharonl,Bio-Info,
INTBIOM-212,67029,,INTBIOM-121,Closed,As Planned,,23/06/2024 00:00, Funda Evocogs runs failed,,32400,inbarp,P271 - CPB Upkeep Computational (CPB),MicroBoost,6/1/24,,sharonl,Product,
INTBIOM-211,66984,,INTBIOM-121,Closed,,37%,30/06/2024 00:00,CLONE - Adding Archeal genomes to the CONFUTER- QA,86400,32400,inbarp,P999 â€“ General (Biomica),MicroBoost,6/1/24,,sharonl,Product,
INTBIOM-210,66983,,INTBIOM-121,Closed,,0%,30/06/2024 00:00,Adding Archeal genomes to the CONFUTER- new ,57600,0,liorr,P999 â€“ General (Biomica),MicroBoost,6/1/24,,sharonl,Bio-Info,
INTBIOM-209,66973,,INTBIOM-72,Closed,,,18/01/2024 00:00,P271 - Funda: Multiple error emails for a certain failed job & Lack of error emails for other jobs (all jobs submitted at once),,72000,anatm,P271 - CPB Upkeep Computational (CPB),MicroBoost,1/1/24,,drorf,Algo,
INTBIOM-208,66972,,INTBIOM-78,Closed,,128%,31/12/2023 00:00,P271 - StrainDB analysis of PRJNA928744 ,100800,129600,liorr,P271 - CPB Upkeep Computational (CPB),MicroBoost,1/1/24,,drorf,Bio-Info,
INTBIOM-206,66923,,INTBIOM-163,Closed,,,31/03/2024 00:00,FUNDA- change the names of output files and folder to include job id & taxonomic rank MB QA,,10800,inbarp,P999 â€“ General (Biomica),MicroBoost,6/1/24,,inbarp,Product,
INTBIOM-205,66841,,INTBIOM-121,Closed,As Planned,,27/05/2024 00:00,Metadata components in ClinicalDB can not be filtered numerically,,28800,noama,P999 â€“ General (Biomica),MicroBoost,6/1/24,,inbarp,Dev,
INTBIOM-204,66840,,INTBIOM-121,Closed,As Planned,,27/05/2024 00:00,Metadata components of ClinicalDB do not appear for the Sheba dataset,,14400,duduz,P999 â€“ General (Biomica),MicroBoost,5/1/24,,inbarp,Dev,
INTBIOM-203,66839,,INTBIOM-121,Closed,,0%,30/06/2024 00:00, Adding Archeal genomes to the CONFUTER- Continue,57600,0,liorr,P999 â€“ General (Biomica),MicroBoost,6/1/24,,sharonl,Bio-Info,
INTBIOM-202,66831,,INTBIOM-198,Closed,As Planned,,02/06/2024 00:00,EvoCOG enrichment - project effort assessment- MB,,284400,inbarp,P999 â€“ General (Biomica),MicroBoost,6/1/24,,elanitec,Product,
INTBIOM-201,66830,,INTBIOM-198,Closed,As Planned,,02/06/2024 00:00,EvoCOG enrichment - project effort assessment - Algo,,,robertoo,P999 â€“ General (Biomica),CPB,6/1/24,,elanitec,Algo,
INTBIOM-200,66829,,INTBIOM-198,Closed,As Planned,50%,02/06/2024 00:00,EvoCOG enrichment - project effort assessment - Dev,28800,14400,duduz,P999 â€“ General (Biomica),CPB,6/1/24,,elanitec,Dev,
INTBIOM-199,66828,,INTBIOM-198,Closed,As Planned,,02/06/2024 00:00,EvoCOG enrichment - project effort assessment - BI,,14400,gala,P999 â€“ General (Biomica),CPB,6/1/24,,elanitec,Bio-Info,
INTBIOM-197,66807,,INTBIOM-121,Closed,As Planned,,23/05/2024 00:00, Metadata components of clinicalDB do not appear for the Sheba dataset,,18000,inbarp,P999 â€“ General (Biomica),MicroBoost,6/1/24,,sharonl,Product,
INTBIOM-196,66806,,INTBIOM-121,Closed,As Planned,,27/05/2024 00:00, Metadata components in clinicalDB can not be filtered numerically,,21600,inbarp,P999 â€“ General (Biomica),MicroBoost,6/1/24,,sharonl,Customer success,
INTBIOM-195,66746,,INTBIOM-72,Closed,As Planned,,12/05/2024 00:00, FUNDA jobs can not be transfered to tree mode,,,inbarp,P999 â€“ General (Biomica),MicroBoost,5/1/24,,sharonl,Customer success,
INTBIOM-193,66685,,BIOM-371,Closed,,,30/05/2024 00:00,FUNDA - definition of groups 1 and 2 -MB QA,,158400,inbarp,P999 â€“ General (Biomica),MicroBoost,5/1/24,,inbarp,Product,
INTBIOM-192,66684,,BIOM-371,Closed,,100%,30/05/2024 00:00,FUNDA - definition of groups 1 and 2 -Algo,28800,28800,anatm,P999 â€“ General (Biomica),MicroBoost,5/1/24,,inbarp,Algo,
INTBIOM-191,66683,,BIOM-371,Closed,,100%,26/05/2024 00:00,FUNDA - definition of groups 1 and 2 -Algo May2024,28800,28800,robertoo,P999 â€“ General (Biomica),MicroBoost,5/1/24,,inbarp,Algo,
INTBIOM-190,66642,,INTBIOM-121,Closed,,50%,24/05/2024 00:00,Run 2 addtional samples in the strainDB analysis,57600,28800,liorr,P999 â€“ General (Biomica),MicroBoost,5/1/24,,sharonl,Bio-Info,
INTBIOM-189,66611,,BIOM-371,Closed,,9223372036854770000%,30/05/2024 00:00,FUNDA - definition of groups 1 and 2 -MB QA,0,104400,inbarp,P999 â€“ General (Biomica),MicroBoost,4/1/24,,inbarp,Product,
INTBIOM-188,66610,,BIOM-371,Closed,As Planned,100%,01/05/2024 00:00,FUNDA - definition of groups 1 and 2 -Dev,28800,28800,duduz,P999 â€“ General (Biomica),MicroBoost,5/1/24,,inbarp,Dev,
INTBIOM-187,66609,,BIOM-371,Closed,As Planned,50%,30/05/2024 00:00,FUNDA - definition of groups 1 and 2 -Algo,57600,28800,anatm,P999 â€“ General (Biomica),MicroBoost,4/1/24,,inbarp,Algo,
