Summary,Issue key,Project name,Assignee,Creator,Original Estimate,Original Estimate Days,Time Spent,Time Spent Days,Work Ratio,Custom field (Budget),Custom field (Epic Link),Custom field (Epic Name),Custom field (Product),Sprint,Custom field (Teams)
PointHit UI / Full PointHit - Feb,CHEM-617,ChemPass,hodayam,duduz,144000,5,172800,6,120%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Feb 23,Dev
Protein description loader,CPB-773,CPB,hodayam,duduz,86400,3,54000,1.875,62%,P279 - CPB projects Computational (CPB 2023),CPB-762,,MicroBoost,1 Jan 23,Dev
TANDA loader,CPB-772,CPB,hodayam,duduz,86400,3,86400,3,100%,P279 - CPB projects Computational (CPB 2023),CPB-762,,MicroBoost,1 Jan 23,Dev
Busco Loader,CPB-771,CPB,hodayam,duduz,86400,3,86400,3,100%,P279 - CPB projects Computational (CPB 2023),CPB-762,,MicroBoost,1 Jan 23,Dev
PointHit UI / Pharmacophore Calibration,CHEM-619,ChemPass,hodayam,hamutal.e,144000,5,133200,4.625,92%,P264 - Product-CP (Chempass 2023),CHEM-595,,ChemPass,1 Feb 23,Dev
Plasmids loader,CPB-888,CPB,hodayam,duduz,115200,4,54000,1.875,46%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Feb 23,Dev
Plasmids loader - Mar,CPB-924,CPB,hodayam,duduz,57600,2,28800,1,50%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Mar 23,Dev
Load annotations support,CPB-925,CPB,hodayam,duduz,57600,2,63000,2.1875,109%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Mar 23,Dev
PointHit config modifications after QA,CHEM-630,ChemPass,hodayam,alinsb,100800,3.5,106200,3.6875,105%,P264 - Product-CP (Chempass 2023),CHEM-595,,ChemPass,1 Mar 23,Dev
Dev support and upkeep (Hodaya) - Mar,CPB-920,CPB,hodayam,duduz,57600,2,10800,0.375,18%,P271 - CPB Upkeep Computational (2023),,,CPB,1 Mar 23,Dev
Active search UI,CHEM-552,ChemPass,hodayam,duduz,288000,10,246600,8.5625,85%,P264 - Product-CP (Chempass 2023),CHEM-595,,ChemPass,1 Mar 23,Dev
DeepDock UI for exsisting models,CHEM-550,ChemPass,hodayam,duduz,144000,5,54000,1.875,37%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Mar 23,Dev
DeepDock UI for exsisting models - Apr,CHEM-637,ChemPass,hodayam,duduz,86400,3,115200,4,133%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Apr 23,Dev
ActiveSearch- modifications after QA- Dev,CHEM-661,ChemPass,hodayam,hamutal.e,28800,1,37800,1.3125,131%,P264 - Product-CP (Chempass 2023),CHEM-595,,ChemPass,1 Apr 23,Dev
 ActiveSearch- modifications after QA- Dev - May,CHEM-678,ChemPass,hodayam,hamutal.e,28800,1,28800,1,100%,P264 - Product-CP (Chempass 2023),CHEM-595,,ChemPass,1 May 23,Dev
PointHit POC support-Dev-cloned,CHEM-673,ChemPass,hodayam,alinsb,28800,1,57600,2,200%,P264 - Product-CP (Chempass 2023),CHEM-595,,ChemPass,1 May 23,Dev
Monitoring system-Dev,CHEM-644,ChemPass,hodayam,alinsb,86400,3,86400,3,100%,P264 - Product-CP (Chempass 2023),CHEM-687,,ChemPass,1 May 23,Dev
Genome page main UI - Droplist cluster,MIC-753,MicroBoost,hodayam,larisar,86400,3,68400,2.375,79%,P265 - Product- MB (Microboost 2023),MIC-720,,MicroBoost,1 Apr 23,Dev
Genome page main UI - Droplist Annotations: Pathway (currently KEGG),MIC-760,MicroBoost,hodayam,larisar,86400,3,86400,3,100%,P265 - Product- MB (Microboost 2023),MIC-720,,MicroBoost,1 May 23,Dev
Genome page main UI - Droplist Annotations: TANDA-diamond,MIC-765,MicroBoost,hodayam,larisar,86400,3,28800,1,33%,P265 - Product- MB (Microboost 2023),MIC-720,,MicroBoost,1 May 23,Dev
Genome page main UI - Droplist Annotations: Pathway (MetaCYC),MIC-855,MicroBoost,hodayam,larisar,57600,2,57600,2,100%,P265 - Product- MB (Microboost 2023),MIC-720,,MicroBoost,1 May 23,Dev
Genome page main UI -  Droplist AntiSmash,MIC-759,MicroBoost,hodayam,larisar,288000,10,172800,6,60%,P265 - Product- MB (Microboost 2023),MIC-720,,MicroBoost,1 May 23,Dev
Active Search - output modifications,CHEM-709,ChemPass,hodayam,hamutal.e,57600,2,32400,1.125,56%,P264 - Product-CP (Chempass 2023),CHEM-708,,ChemPass,1 May 23,Dev
Genome page main UI - Droplist Annotations: Interpro,MIC-764,MicroBoost,hodayam,larisar,57600,2,57600,2,100%,P265 - Product- MB (Microboost 2023),MIC-720,,MicroBoost,1 May 23,Dev
Microboost UI modifications,CPB-989,CPB,hodayam,duduz,28800,1,28800,1,100%,P271 - CPB Upkeep Computational (2023),,,CPB,1 May 23,Dev
Genome page main UI - Droplist Annotations: GO TERMS,MIC-784,MicroBoost,hodayam,larisar,57600,2,28800,1,50%,P265 - Product- MB (Microboost 2023),MIC-720,,MicroBoost,1 May 23,Dev
De novo design - RA score prediction - UI (cloned),CHEM-695,ChemPass,hodayam,hamutal.e,86400,3,28800,1,33%,P264 - Product-CP (Chempass 2023),CHEM-633,,ChemPass,1 Jun 23,Dev
t-SNE tool development - UI (cloned),CHEM-701,ChemPass,hodayam,hamutal.e,144000,5,183600,6.375,127%,P264 - Product-CP (Chempass 2023),CHEM-699,,ChemPass,1 Jun 23,Dev
Modify ProductionQA script for batch and overall monitoring,CPB-974,CPB,hodayam,duduz,144000,5,266400,9.25,185%,P279 - CPB projects Computational (CPB 2023),CPB-996,,CPB,1 Jun 23,Dev
Focused PointHit / Standalone mode - UI,CHEM-728,ChemPass,hodayam,hamutal.e,57600,2,32400,1.125,56%,P264 - Product-CP (Chempass 2023),CHEM-708,,ChemPass,1 Jul 23,Dev
RESEQ/SAUCE UI - Dev,MIC-913,MicroBoost,hodayam,elanitec,144000,5,72000,2.5,50%,P265 - Product- MB (Microboost 2023),MIC-909,,MicroBoost,1 Jul 23,Dev
t-SNE tool - Corrections after QA,CHEM-726,ChemPass,hodayam,hamutal.e,57600,2,18000,0.625,31%,P264 - Product-CP (Chempass 2023),CHEM-699,,ChemPass,1 Jul 23,Dev
Node18 and Oracle 19 QA - Chempass,CPB-1017,CPB,hodayam,duduz,28800,1,28800,1,100%,P271 - CPB Upkeep Computational (2023),,,CPB,1 Jul 23,Dev
Modify ProductionQA script for batch and overall monitoring - Jul,CPB-1025,CPB,hodayam,duduz,86400,3,147600,5.125,170%,P279 - CPB projects Computational (CPB 2023),CPB-996,,CPB,1 Jul 23,Dev
Strain name/production name conversion table accessed via Biomica's dashboard - UI,MIC-942,MicroBoost,hodayam,elanitec,57600,2,18000,0.625,31%,P271 - CPB Upkeep Computational (2023),MIC-742,,MicroBoost,1 Jul 23,Dev
Modifications in Active search UI (Fingerprints and similarity metric options) ,CHEM-749,ChemPass,hodayam,hamutal.e,28800,1,28800,1,100%,P264 - Product-CP (Chempass 2023),CHEM-708,,ChemPass,1 Jul 23,Dev
EVX to SMILES and INCHIKEY,CHEM-553,ChemPass,nerias,duduz,288000,10,208800,7.25,72%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Jan 23,Dev
Vendor Availability - new and upgraded app,CHEM-575,ChemPass,nerias,duduz,72000,2.5,50400,1.75,70%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Jan 23,Dev
Clustering UI - DEV,CHEM-580,ChemPass,nerias,hamutal.e,288000,10,208800,7.25,72%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Jan 23,Dev
Dedicated Environment for ChemPass - Feb,CHEM-606,ChemPass,nerias,duduz,576000,20,172800,6,30%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Feb 23,Dev
Dedicated Environment for ChemPass,CHEM-551,ChemPass,nerias,duduz,576000,20,25200,0.875,4%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Jan 23,Dev
IGV genome browser integration,CRIS-383,CrisprIL,nerias,erane,144000,5,126000,4.375,87%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Feb 23,Dev
IGV genome browser integration - Mar,CRIS-407,CrisprIL,nerias,duduz,144000,5,36000,1.25,25%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Mar 23,Dev
Pareto UI - DEV,CHEM-554,ChemPass,nerias,duduz,288000,10,115200,4,40%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Mar 23,Dev
Data integration UI- Dev,CHEM-601,ChemPass,nerias,alinsb,144000,5,201600,7,140%,P264 - Product-CP (Chempass 2023),CHEM-595,,ChemPass,1 Mar 23,Dev
Pareto - modifications after QA-Dev,CHEM-666,ChemPass,nerias,hamutal.e,28800,1,28800,1,100%,P264 - Product-CP (Chempass 2023),CHEM-595,,ChemPass,1 Apr 23,Dev
Data Integration UI & Clustering UI Modifications - Dev,CHEM-635,ChemPass,nerias,duduz,86400,3,115200,4,133%,P264 - Product-CP (Chempass 2023),CHEM-595,,ChemPass,1 Apr 23,Dev
Forester_tree,MIC-776,MicroBoost,nerias,anatol,201600,7,216000,7.5,107%,P265 - Product- MB (Microboost 2023),MIC-715,,MicroBoost,1 Apr 23,Dev
Forester Interactive table ,MIC-833,MicroBoost,nerias,anatol,28800,1,27000,0.9375,93%,P265 - Product- MB (Microboost 2023),MIC-715,,MicroBoost,1 Apr 23,Dev
Data Int- Modifications after QA- Dev,CHEM-675,ChemPass,nerias,alinsb,86400,3,90000,3.125,104%,P264 - Product-CP (Chempass 2023),CHEM-595,,ChemPass,1 May 23,Dev
Forester - the option to select colors by user,MIC-851,MicroBoost,nerias,anatol,144000,5,151200,5.25,104%,P265 - Product- MB (Microboost 2023),MIC-715,,MicroBoost,1 May 23,Dev
Ag Models UI,CHEM-649,ChemPass,nerias,hamutal.e,144000,5,201600,7,140%,P264 - CSO small molecules (CSO/Product),CHEM-682,,ChemPass,1 May 23,Dev
Genome page main UI - Droplist Sequences & IGV,MIC-755,MicroBoost,nerias,larisar,144000,5,129600,4.5,90%,P265 - Product- MB (Microboost 2023),MIC-720,,MicroBoost,1 Jun 23,Dev
Finish new FUNDA version after QA,CPB-970,CPB,nerias,duduz,57600,2,57600,2,100%,P271 - CPB Upkeep Computational (2023),,,MicroBoost,1 Jun 23,Dev
Neighborhood View - evaluation of relevant plugins,MIC-854,MicroBoost,nerias,anatol,144000,5,129600,4.5,90%,P265 - Product- MB (Microboost 2023),MIC-839,,MicroBoost,1 Jun 23,Dev
Neighborhood view UI development,MIC-902,MicroBoost,nerias,drorf,432000,15,316800,11,73%,P265 - Product- MB (Microboost 2023),MIC-839,,MicroBoost,1 Jul 23,Dev
Create production loader,CPB-838,CPB,noama,duduz,115200,4,108000,3.75,93%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Dev
add off-target and primer information to the interface,CRIS-381,CrisprIL,noama,erane,288000,10,288000,10,100%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Jan 23,Dev
Interpro loader,CPB-776,CPB,noama,duduz,230400,8,201600,7,87%,P279 - CPB projects Computational (CPB 2023),CPB-762,,MicroBoost,1 Jan 23,Dev
Abundance tables from Metabacum UI are not received by email Feb2023,MIC-737,MicroBoost,noama,larisar,,0,7200,0.25,,P997-273 - Upkeep MicroBoost,,,MicroBoost,1 Feb 23,Dev
ko2pathways loader,CPB-779,CPB,noama,duduz,86400,3,36000,1.25,41%,P279 - CPB projects Computational (CPB 2023),CPB-762,,MicroBoost,1 Feb 23,Dev
BACUM loader,CPB-781,CPB,noama,duduz,288000,10,158400,5.5,55%,P279 - CPB projects Computational (CPB 2023),CPB-762,,MicroBoost,1 Feb 23,Dev
Local GoGenome - Basic interface Feb23,CRIS-401,CrisprIL,noama,sharonl,115200,4,115200,4,100%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Feb 23,Dev
Add GO annotations loading to Interpro loader,CPB-878,CPB,noama,duduz,115200,4,75600,2.625,65%,P279 - CPB projects Computational (CPB 2023),CPB-762,,MicroBoost,1 Feb 23,Dev
metacyc2pathways loader,CPB-778,CPB,noama,duduz,57600,2,122400,4.25,212%,P279 - CPB projects Computational (CPB 2023),CPB-762,,MicroBoost,1 Feb 23,Dev
metacyc2pathways loader - Mar,CPB-905,CPB,noama,duduz,57600,2,50460,1.752083333,87%,P279 - CPB projects Computational (CPB 2023),CPB-762,,MicroBoost,1 Mar 23,Dev
BACUM loader - Mar,CPB-879,CPB,noama,duduz,144000,5,144000,5,100%,P279 - CPB projects Computational (CPB 2023),CPB-762,,MicroBoost,1 Mar 23,Dev
Dev support and upkeep (Noam) - Mar,CPB-919,CPB,noama,duduz,57600,2,1800,0.0625,3%,P271 - CPB Upkeep Computational (2023),,,CPB,1 Mar 23,Dev
Add to the main search possibility to search production/GCF/AssemblyID,MIC-750,MicroBoost,noama,larisar,144000,5,140400,4.875,97%,P265 - Product- MB (Microboost 2023),MIC-720,,MicroBoost,1 Mar 23,Dev
Local GoGenome - Basic interface MAR23-adjustment,CRIS-404,CrisprIL,noama,sharonl,57600,2,1800,0.0625,3%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 May 23,Dev
Advanced search ,CPB-929,CPB,noama,Iliaz,288000,10,331200,11.5,115%,P279 - CPB projects Computational (CPB 2023),,,CPB,1 Apr 23,Dev
API for getting taxonomy abundance,CPB-963,CPB,noama,michala,28800,1,18000,0.625,62%,P279 - CPB projects Computational (CPB 2023),,,CPB,1 May 23,Dev
Create layout for Genome Page ,MIC-751,MicroBoost,noama,larisar,144000,5,135000,4.6875,93%,P265 - Product- MB (Microboost 2023),MIC-720,,MicroBoost,1 Mar 23,Dev
Automatic verification of uploaded data in?metaBacumLoader.py,CPB-955,CPB,noama,iliab,86400,3,79200,2.75,91%,P279 - CPB projects Computational (CPB 2023),MIC-828,,CPB,1 May 23,Dev
Advanced search -May,CPB-951,CPB,noama,Iliaz,288000,10,280800,9.75,97%,P279 - CPB projects Computational (CPB 2023),,,CPB,1 May 23,Dev
Genome page main UI - Droplist Annotations: TANDA-fasta36 from cluster page,MIC-767,MicroBoost,noama,larisar,144000,5,144000,5,100%,P279 - CPB projects Computational (CPB 2023),MIC-720,,MicroBoost,1 May 23,Dev
BACUM loader debugging,CPB-985,CPB,noama,iliab,86400,3,57600,2,66%,P279 - CPB projects Computational (CPB 2023),,,CPB,1 May 23,Dev
Prepare StrainDB data in DB,MIC-749,MicroBoost,noama,larisar,144000,5,14400,0.5,10%,P265 - Product- MB (Microboost 2023),MIC-720,,MicroBoost,1 Mar 23,Dev
CLONED -F2O gives seemingly false warning and omits Group ID and Representative from the results,LAV-484,LavieBio,noama,larisar,28800,1,28800,1,100%,P271 - CPB Upkeep Computational (2023),,,MicroBoost,1 Jun 23,Architect
CLONED - Bug in F2O output for Biomica users (nested tables),INTBIOM-6,Biomica Internal,noama,larisar,57600,2,39600,1.375,68%,P271 - CPB Upkeep Computational (2023),,,MicroBoost,1 Jun 23,Dev
CLONE - Remove 'production list too long' limit in Corbac UI tool,LAV-463,LavieBio,noama,elanitec,14400,0.5,12600,0.4375,87%,P192 - Lavie programs (Lavie 2023),,,MicroBoost,1 Mar 23,Dev
Genome page main UI - Droplist Genomes in Group,MIC-754,MicroBoost,noama,larisar,288000,10,180000,6.25,62%,P265 - Product- MB (Microboost 2023),MIC-720,,MicroBoost,1 Jun 23,Dev
Genome page main UI - Droplist Annotations: Plasmid,MIC-763,MicroBoost,noama,larisar,86400,3,86400,3,100%,P265 - Product- MB (Microboost 2023),MIC-720,,MicroBoost,1 Jun 23,Dev
CLONE - Raw taxonomy matrices downloded from metabacum are presented as relatiVe abundance matrices,INTBIOM-8,Biomica Internal,noama,elanitec,,0,25200,0.875,,P271 - CPB Upkeep Computational (2023),,,MicroBoost,1 Jun 23,Bio-Info
F2O bugs following Busco score updating and uploading,MIC-810,MicroBoost,noama,anatol,57600,2,39600,1.375,68%,P271 - CPB Upkeep Computational (2023),MIC-742,,MicroBoost,1 Jun 23,Dev
Dev support (Noam) - Jun,CPB-992,CPB,noama,duduz,57600,2,36000,1.25,62%,P271 - CPB Upkeep Computational (2023),,,CPB,1 Jun 23,Dev
Dev support (Noam) - Jul,CPB-1024,CPB,noama,duduz,57600,2,25200,0.875,43%,P271 - CPB Upkeep Computational (2023),,,CPB,1 Jul 23,Dev
Node18 and Oracle 19 QA - Microboost,CPB-1014,CPB,noama,drorf,57600,2,39600,1.375,68%,P271 - CPB Upkeep Computational (2023),,,CPB,1 Jul 23,Dev
Advanced search changes,CPB-1000,CPB,noama,duduz,144000,5,115200,4,80%,P279 - CPB projects Computational (CPB 2023),,,CPB,1 Jul 23,Dev
metaBacumLoader.py modifications and support of CPB-1022,CPB-1026,CPB,noama,iliab,86400,3,82800,2.875,95%,P279 - CPB projects Computational (CPB 2023),MIC-828,,CPB,1 Jul 23,Dev
add castorbean genome to UI,CPB-1033,CPB,noama,Iliaz,28800,1,25200,0.875,87%,P279 - CPB projects Computational (CPB 2023),,,CPB,1 Jul 23,Dev
Raw taxonomy matrices and relative abundance matrices download from metabacum is inconsistent ,INTBIOM-11,Biomica Internal,noama,elanitec,,0,28800,1,,P271 - CPB Upkeep Computational (2023),MIC-742,,MicroBoost,1 Jul 23,Dev
StrainDB: Add production name column to taxonomy abundance table (strain) from UI,MIC-919,MicroBoost,noama,larisar,57600,2,64800,2.25,112%,P273 - Product- Upkeep MB  (2023),MIC-742,,MicroBoost,1 Jul 23,Dev
CLONE - Strain name/production name conversion table accessed via Biomica's dashboard - API,MIC-943,MicroBoost,noama,elanitec,57600,2,28800,1,50%,P273 - Product- Upkeep MB  (2023),MIC-742,,MicroBoost,1 Jul 23,Dev
CLONE - CORBACs run failure - ALGO,CI-7,CPBC Internal,anatm,drorf,,0,14400,0.5,,P82 - ICL (Lavie 2023),,,MicroBoost,1 May 23,Bio-Info
Evo's 185 - Production from Sequences  - OCT (372),LAV-413,LavieBio,gala,drorf,86400,3,72000,2.5,83%,P143 - BioPesticides Seedling internal (LavieBio),,,MicroBoost,1 Jan 23,Bio-Info
design gRNAs for cpf1,CRIS-388,CrisprIL,gala,eladm,57600,2,28800,1,50%,P278 - CrisprIL_WP4 (CRISPR) (2023),CRIS-376,,Generator,1 Jan 23,Bio-Info
CrisprIL data evaluation-add round-based option for data normalization ,CRIS-384,CrisprIL,gala,erane,86400,3,43200,1.5,50%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Jan 23,Bio-Info
KO+ KEGG pathways- Code review,CPB-818,CPB,gala,gala,28800,1,10800,0.375,37%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Bio-Info
Download of 10 samples of the IBS project,BIOM-239,Biomica,gala,SheerliK,28800,1,21600,0.75,75%,P255 - IBD (Biomica 2023),,,CPB,1 Feb 23,Bio-Info
CrisprIL delivery Evo's_194 Data download,CRIS-374,CrisprIL,gala,noag,7200,0.25,7200,0.25,100%,P278 - CrisprIL_WP4 (CRISPR) (2023),CRIS-376,,AgSeed,1 Jan 23,Bio-Info
Metacyc- Code review,CPB-799,CPB,gala,gala,28800,1,14400,0.5,50%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Feb 23,Bio-Info
IGV genome browser - preparations,CRIS-382,CrisprIL,gala,erane,144000,5,129600,4.5,90%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Feb 23,Bio-Info
 CrisprIL data evaluation - Feb 2023. Prepare M82 set which can be used for publications,CRIS-399,CrisprIL,gala,sharonl,57600,2,14400,0.5,25%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Feb 23,Bio-Info
CLONE - ICL- Create productions from public genomes,LAV-448,LavieBio,gala,elanitec,144000,5,43200,1.5,30%,P19 - BioStimulants internal (LavieBio),,,MicroBoost,1 Feb 23,Bio-Info
CrisprIL delivery Evo's_196 Data download,CRIS-403,CrisprIL,gala,noag,7200,0.25,3600,0.125,50%,P278 - CrisprIL_WP4 (CRISPR) (2023),CRIS-376,,AgSeed,1 Mar 23,Bio-Info
cpf1 tabix index for human,CRIS-414,CrisprIL,gala,erane,,0,21600,0.75,,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Mar 23,Bio-Info
CrisprIL delivery Evo's_195 Data download,CRIS-402,CrisprIL,gala,noag,7200,0.25,3600,0.125,50%,P278 - CrisprIL_WP4 (CRISPR) (2023),CRIS-376,,AgSeed,1 Feb 23,Bio-Info
Knowledge transfer ,CRIS-411,CrisprIL,gala,nira,86400,3,86400,3,100%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Mar 23,Bio-Info
CrisprIL delivery Evo's_197 Data download,CRIS-415,CrisprIL,gala,noag,7200,0.25,7200,0.25,100%,P278 - CrisprIL_WP4 (CRISPR) (2023),CRIS-376,,Generator,1 Apr 23,Bio-Info
 ICL- Create productions from public genomes - MAR,LAV-455,LavieBio,gala,drorf,57600,2,100800,3.5,175%,P82 - ICL (Lavie 2023),,,MicroBoost,1 Mar 23,Bio-Info
StrainDB - Build KRAKEN-BRACEN DB Jan 2023,MIC-704,MicroBoost,gala,drorf,57600,2,14400,0.5,25%,P997-273 - Upkeep MicroBoost,MIC-417,,MicroBoost,1 Jan 23,Bio-Info
Assembly code review ,CPB-898,CPB,gala,gala,57600,2,14400,0.5,25%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Apr 23,Bio-Info
Tanda- Code review,CPB-870,CPB,gala,gala,28800,1,3600,0.125,12%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Feb 23,Bio-Info
Stats- code revies,CPB-853,CPB,gala,gala,28800,1,7200,0.25,25%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Feb 23,Bio-Info
Ilanit,CPB-918,CPB,gala,gala,115200,4,115200,4,100%,P279 - CPB projects Computational (CPB 2023),,,CPB,1 Feb 23,Bio-Info
Biomica- abundance tables,CPB-835,CPB,gala,gala,115200,4,86400,3,75%,P997-271 - Upkeep Computational ,MIC-828,,MicroBoost,1 Jan 23,Bio-Info
Meetings- Gal,CPB-834,CPB,gala,gala,,0,120600,4.1875,,P997-271 - Upkeep Computational ,,,CPB,1 Jan 23,Bio-Info
statistics- Gal,MIC-706,MicroBoost,gala,gala,,0,86400,3,,P265 - CSO microbials (CSO/Product),,,MicroBoost,1 Jan 23,Bio-Info
CLONE - Improvements to Rewrite GapSeq Jan2023,MIC-703,MicroBoost,iliab,nira,144000,5,115200,4,80%,P265 - CSO microbials (CSO/Product),MIC-378,,MicroBoost,1 Jan 23,Bio-Info
Prodigal,CPB-792,CPB,iliab,gala,57600,2,108000,3.75,187%,P276 - CTO ?�� Architecture (CPB),CPB-762,,CPB,1 Jan 23,Bio-Info
bed files,CPB-793,CPB,iliab,gala,57600,2,90000,3.125,156%,P276 - CTO ?�� Architecture (CPB),CPB-762,,CPB,1 Jan 23,Bio-Info
Generate production,CPB-839,CPB,iliab,gala,57600,2,129600,4.5,225%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Bio-Info
Metacyc- map prt to metacyc,CPB-795,CPB,iliab,gala,57600,2,57600,2,100%,P276 - CTO ?�� Architecture (CPB),CPB-762,,CPB,1 Jan 23,Bio-Info
Metacyc- rxn to pathways,CPB-796,CPB,iliab,gala,86400,3,115200,4,133%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Feb 23,Bio-Info
First DAG- genome to production- Feb,CPB-763,CPB,iliab,gala,86400,3,194400,6.75,225%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Feb 23,Bio-Info
Metacyc- DB tables,CPB-877,CPB,iliab,gala,86400,3,79200,2.75,91%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Feb 23,Bio-Info
Prodigal QA,CPB-794,CPB,iliab,gala,28800,1,28800,1,100%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Bio-Info
Run Fast Pathways on Septoria ,CHEM-667,ChemPass,iliab,nira,28800,1,28800,1,100%,P264 - Product-CP (Chempass 2023),CHEM-519,,ChemPass,1 Apr 23,Bio-Info
CLONE - Metagenome mapping for regulatory approval,LAV-473,LavieBio,iliab,elanitec,57600,2,57600,2,100%,P192 - Lavie programs (Lavie 2023),,,MicroBoost,1 Apr 23,Bio-Info
EvoCOG on the fly QA for ~8000 genomes,CPB-969,CPB,iliab,iliab,43200,1.5,43200,1.5,100%,P279 - CPB projects Computational (CPB 2023),MIC-23,,CPB,1 May 23,Bio-Info
CLONE - Genome annotation files of Pseudomonas_ISID49762_20v1,CI-12,CPBC Internal,iliab,elanitec,28800,1,28800,1,100%,P192 - Lavie programs (Lavie 2023),,,CPB,1 May 23,Bio-Info
CLONE - Pseudomonas Production Creation (LAV-311),LAV-481,LavieBio,iliab,elanitec,115200,4,43200,1.5,37%,P143 - Corteva (Lavie 2023),,,MicroBoost,1 May 23,Bio-Info
CLONE - Strain Comparison Yersinia entomophaga,CI-10,CPBC Internal,iliab,elanitec,86400,3,86400,3,100%,P192 - Lavie programs (Lavie 2023),,,CPB,1 May 23,Bio-Info
Isolate assembly DAG update,CPB-956,CPB,iliab,iliab,115200,4,115200,4,100%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 May 23,Bio-Info
Remove duplicate rows from acc2name with backup,CPB-953,CPB,iliab,iliab,43200,1.5,43200,1.5,100%,P279 - CPB projects Computational (CPB 2023),,,CPB,1 May 23,Bio-Info
Genome source ISID,CPB-938,CPB,iliab,gala,57600,2,50400,1.75,87%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Apr 23,Bio-Info
strainDB- update evocogs on the fly,MIC-805,MicroBoost,iliab,gala,86400,3,86400,3,100%,P273 - Product- Upkeep MB  (2023),CPB-880,,CPB,1 Apr 23,Bio-Info
DAG update,CPB-902,CPB,iliab,gala,86400,3,115200,4,133%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Apr 23,Bio-Info
DAG Isolate assembly,CPB-901,CPB,iliab,gala,86400,3,57600,2,66%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Mar 23,Bio-Info
Assembly summary,CPB-897,CPB,iliab,gala,57600,2,14400,0.5,25%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Mar 23,Bio-Info
"create ""productions"" for metagenome- Mar",CPB-906,CPB,iliab,gala,86400,3,115200,4,133%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Mar 23,Bio-Info
strainDB- runannotation 2nd round,MIC-733,MicroBoost,iliab,gala,86400,3,86400,3,100%,P273 - Product- Upkeep MB  (2023),CPB-841,,CPB,1 Mar 23,Bio-Info
spades,CPB-895,CPB,iliab,gala,57600,2,57600,2,100%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Mar 23,Bio-Info
Generate assembly dir,CPB-892,CPB,iliab,gala,28800,1,32400,1.125,112%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Mar 23,Bio-Info
Megahit,CPB-893,CPB,iliab,gala,57600,2,57600,2,100%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Mar 23,Bio-Info
strainDB- load annotation 2nd round,MIC-734,MicroBoost,iliab,gala,28800,1,54000,1.875,187%,P273 - Product- Upkeep MB  (2023),CPB-841,,CPB,1 Mar 23,Bio-Info
